вольта,река,гана,	Volta_River
биг-сэнди,соединённые штаты америки,	Big_Sandy_River_(Ohio_River)
серио,река,,	Serio_(river)
сантри,река,,	Santry_River
барроу,река,ирландия,	River_Barrow
зауренбах,,	Hover_Bach
варнов,,	Warnow
хоппнер,река,,	Hoppner_River
скайкомиш,,	Skykomish_River
шмибах,,	Schmiehbach
эрбштром,,	Erbstrom
вельплагебах,,	Welplagebach
ниолс,,	Niols_River
балцаиа,венгрия,	Balcaia_River
териберка,река,,	Teriberka_River
гнилец,река,,	Hnilec_(river)
бюэш,,	Buëch
аялон,река,израиль,тель-авив,рамат-ган	Ayalon_River
храми,азербайджан,	Khrami
иц,река,,	Itz
выг,россия,беломорск	Vyg_River
конкорд,река,,	Concord_River
йёкюльсау-ау-даль,исландия,	Jökulsá_á_Dal
муцбах,,	Mutzbach
валапаттанам,,	Valapattanam_River
муониоэльвен,финляндия,	Muonio_(river)
ондава,,	Ondava
фаульбах,река,,	Faulbach_(Main)
пилица,река,польша,	Pilica_(river)
кришул-репеде,венгрия,алешд,орадя	Crișul_Repede_River
северная двина,,	Northern_Dvina_River
мама,река,,	Mama_River
ранельва,норвегия,му-и-рана	Ranelva
н,река,россия,	Nera_River_(Russia)
кугарок,сьюард (полуостров),	Kougarok_River
горынь,,	Horyn_River
кларе,река,,	Clarée
ламбро,,	Lambro
ё,река,,	Yelva_River
илиссос,греция,	Ilisos
сиги,река,,	Zigi_River
дигул,индонезия,	Digul
виндвеэ,,	Windwehe
манингури,мадагаскар,ampasina maningory	Maningory_River
плим,река,,	River_Plym
айтценбах,,	Aitzenbach
панаро,река,,	Panaro_(river)
бломбах,,	Blombach
вербе,,	Werbe_(Eder)
пыльтсамаа,река,,	Põltsamaa_(river)
кеннет,река,уилтшир,ньюбери (англия)	River_Kennet
арустук,река,,	Aroostook_River
фрейзер,река,канада,	Fraser_River
рашен-ривер,,хилдсбург,юкайа (калифорния)	Russian_River_(California)
сырдарья,казахстан,кызылорда,худжанд,ташкент,туркестан (город),байконур (город)	Syr_Darya
трубеж,река,впадает в плещеево озеро,,	Trubezh_River
эспер,,	Ösper
бенфе,,	Benfe_(Eder)
коппер,,	Copper_River_(Alaska)
вьоса,,	Aoös
лоссе,река,,	Losse_(river)
нельтуме,река,,	Neltume_River
абакашис,бразилия,	Abacaxis_River
кема,река,впадает в белое озеро,,	Kema_River
сан-франсиску,бразилия,	São_Francisco_River
збечницкий ручей,чехия,гронов,збечник	Zbečník_stream
карбах,,	Karbach_(Main)
напте,,	Napte
флаттенер-бах,,	Vlattener_Bach
колвилл,река,соединённые штаты америки,	Colville_River_(Alaska)
саксагань,украина,кривой рог	Saksahan
потенца,река,,	Potenza_(river)
лирбах,,	Lierbach
джеймс,река,соединённые штаты америки,	James_River
важинка,,	Vazhinka_River
йиде-эльв,швеция,	Gide_River
ильсбах,,	Ilsbach_(Seenbach)
шире,река,малави,	Shire_River
репруа,грузия,	Reprua_River
днестр,,	Dniester
альмендарес,,	Almendares_River
аула,река,,	Aula_(river)
гауангельбах,,	Gauangelbach
рейн,королевство франция,	Rhine
лотта,,	Lutto_(river)
эссельбах,река,,	Esselbach_(Salwey)
нармада,река,индия,махешвар,бхаруч,девас,джабалпур,раджпипла,омкарешвар	Narmada_River
тахунья,испания,	Tajuña
худосей,,	Khudosey_River
ветшафт,,	Wetschaft
кунар,река,афганистан,	Kunar_River
суда,река,впадает в рыбинское водохранилище,,	Suda_River
деренбах,,	Derenbach_(Bröl)
минданао,река,филиппины,валенсия (филиппины)	Rio_Grande_de_Mindanao
брег,,	Breg_(river)
хазе,германия,оснабрюк,берзенбрюк,брамше,эссен (ольденбург),хазелюнне,херцлаке,лёнинген,меппен,квакенбрюк	Hase
западная двина,,	Daugava_(river)
цидлина,,	Cidlina
увац,,	Uvac
карсон,река,,	Carson_River
кессах,,	Kessach
а,река,киргизия,	Ak-Suu_River_(Chu)
айдер,река,,	Eider_(river)
левуо,,	Lėvuo
мензеля,,	Menzelya_River
сил,река,канада,	Seal_River_(Manitoba)
мёша,,	Myosha_River
штрасбах,,	Straßbach
рио-ондо,,	Hondo_River_(Belize)
кюртенер-зюльц,,	Kürtener_Sülz
журуа,,	Juruá_River
шилка,,	Shilka_River
еруслан,река,,	Yeruslan_River
ауфзес,река,,	Aufseß_(river)
геннах,река,,	Gennach
соррайя,река,португалия,	Sorraia_River
синни,,	Sinni_(river)
кёрёш,венгрия,бекеш (город),сарваш	Körös_River
риенца,,	Rienz
зай,река,,	Zay_River
